location_id,metric_id,year,value
23,2,2024,10.0
23,3,2024,6.0
23,4,2024,
23,5,2024,8.0
23,6,2024,457.0
23,7,2024,26.2
23,1,2025,439.0
23,2,2025,5.0
23,3,2025,2.0
23,4,2025,1.0
23,5,2025,47.0
23,6,2025,493.0
23,7,2025,28.1
24,1,2024,115.0
24,2,2024,6.0
24,3,2024,4.0
24,4,2024,
24,5,2024,7.0
24,6,2024,132.0
24,7,2024,18.4
24,1,2025,128.0
24,2,2025,5.0
24,3,2025,8.0
24,4,2025,2.0
24,5,2025,3.0
24,6,2025,144.0
24,7,2025,19.5
25,1,2024,564.0
25,2,2024,17.0
25,3,2024,29.0
25,4,2024,1.0
25,5,2024,79.0
25,6,2024,689.0
25,7,2024,8.6
25,1,2025,479.0
25,2,2025,19.0
25,3,2025,24.0
25,4,2025,
25,5,2025,100.0
25,6,2025,622.0
25,7,2025,7.6
26,1,2024,2630.0
26,2,2024,170.0
26,3,2024,138.0
26,4,2024,32.0
26,5,2024,813.0
26,6,2024,3751.0
26,7,2024,8.2
26,1,2025,2527.0
26,2,2025,131.0
26,3,2025,122.0
26,4,2025,30.0
26,5,2025,835.0
26,6,2025,3615.0
26,7,2025,7.8
27,1,2024,365.0
27,2,2024,7.0
27,3,2024,5.0
27,4,2024,
27,5,2024,145.0
27,6,2024,522.0
27,7,2024,22.8
27,1,2025,303.0
27,2,2025,7.0
27,3,2025,5.0
27,4,2025,
27,5,2025,193.0
27,6,2025,508.0
27,7,2025,22.1
28,1,2024,252.0
28,2,2024,6.0
28,3,2024,4.0
28,4,2024,4.0
28,5,2024,50.0
28,6,2024,312.0
28,7,2024,19.8
28,1,2025,269.0
28,2,2025,8.0
28,3,2025,4.0
28,4,2025,1.0
28,5,2025,26.0
28,6,2025,307.0
28,7,2025,19.3
